,model,R2
5,,-0.019501682426448896
5.1,,-0.018400712665413765
5.2,,-0.01887008787565536
5.3,,-0.01880006544456414
5.4,,-0.026445210004205633
5.5,,-0.015141592962720551
5.6,,-0.017683645855337327
5.7,,-0.01635708147498738
5.8,,-0.007631223771853213
5.9,,-0.009065862783663281
5.10,,-0.005780053035741695
5.11,,-0.042641858002589794
5.12,,-0.011569671552497551
5.13,,-0.016815426916417353
5.14,,-0.011710676946008691
5.15,,-0.017015766864671544
5.16,,-0.002953195825369903
5.17,,-0.005198212302857552
2,,-0.009885815735710457
2.1,,-0.038349267010131305
2.2,,-0.05800888392523218
5.18,,-0.00516386979114869
5.19,,-0.005153059466457721
2.3,,0.01632823694678953
2.4,,0.0017530921027095747
5.20,,-0.02865366265117464
5.21,,0.010454287511935223
5.22,,0.028857445053073638
5.23,,0.005676057561930903
5.24,,0.0293782732638308
5.25,,2.429634113676471e-06
5.26,,-0.006514876862546037
5.27,,-0.002420351352476535
5.28,,1.783043682257457e-06
5.29,,-0.012580938783938844
5.30,,0.002570744945985859
5.31,,-0.00028238969492710986
5.32,,0.00742893873516548
5.33,,-0.00817142684207961
5.34,,-0.006630160920393147
5.35,,-0.005211386173010757
5.36,,-0.005468149928184118
5.37,,-0.004046418329964219
5.38,,-0.003397817369326317
1,,-0.002990633051769942
2.5,,0.0009245952461278684
1.1,,-0.0007651891018696233
4,,-0.013008719390224632
4.1,,0.09513060832309661
4.2,,0.0320557689554507
4.3,,-0.017841475652843997
4.4,,0.011032625747882552
4.5,,-0.006263465732505136
4.6,,-0.008947246763690853
4.7,,-0.029819347603106783
4.8,,-0.0038556735369770223
4.9,,-0.004970979259613095
5.39,,-0.03324285425248941
5.40,,-0.025414745727012855
5.41,,-0.030224609553844095
5.42,,-0.02478841538327048
5.43,,-0.03374104656483734
2.6,,0.003008958524211347
6,,-0.01140782568167853
6.1,,-0.021012183628412506
5.44,,0.0021941613418793304
6.2,,-0.024249262038066766
6.3,,-0.0005339155272345852
7,,-0.001334008603365744
6.4,,-0.06040791440893645
6.5,,-0.06366729001586902
6.6,,-0.03083276000566415
2.7,,-0.006919801239495316
5.45,,-0.023717331080129522
5.46,,-0.026075810676850386
2.8,,-0.0045912196084358925
5.47,,0.029315318895208775
2.9,,-0.26803250776783205
2.10,,-0.1621412709446164
2.11,,-0.141928198041408
2.12,,-0.14301606666792188
2.13,,-0.12591965127450688
2.14,,-0.054132745467859955
2.15,,-0.010988100152099278
2.16,,0.017971854639477813
2.17,,0.029469253370778214
1.2,,0.056801304860931046
1.3,,0.022020989347138586
1.4,,1.5462838586111083e-05
1.5,,1.5266965896931772e-05
1.6,,6.261170111487857e-06
1.7,,-3.790062172548403e-06
1.8,,-9.869239341542269e-06
1.9,,0.11566162156646032
5.48,,0.009437822125367368
5.49,,0.0042232566807274274
5.50,,0.0071327776593892445
5.51,,-0.00758552427852921
5.52,,0.008111327916436206
6.7,,-0.0190319476152927
6.8,,-0.020081321979184885
6.9,,-0.025613001671908497
6.10,,1.697960204993798e-06
6.11,,-0.027337253735910227
6.12,,-0.06379034420959395
6.13,,-0.014035658901657255
6.14,,0.005137586910024972
6.15,,-0.01469629317987109
6.16,,-0.020781857158681527
6.17,,-0.011489038664105333
6.18,,-0.0036833711753481158
6.19,,-0.014200302291816458
6.20,,-0.013507243713815953
6.21,,-0.013665284779667886
6.22,,-0.012740234243392434
6.23,,-0.01256411164768112
6.24,,0.0052013562766921595
6.25,,-0.011501828965825966
6.26,,-0.01578425178284082
6.27,,-0.010746730398831783
6.28,,-0.0043955037642355865
6.29,,-0.013106289410875327
2.18,,-0.001818580640905898
6.30,,-0.05862956381425488
6.31,,-0.04227993514142314
6.32,,-0.05618002641375153
1.10,,-0.03203594046193414
